row	Type	Sex	Speaker	Vowel	IPA	F0	F1	F2	F3
1	m	m	1	i	i	160	240	2280	2850
2	m	m	1	i	i	186	280	2400	2790
3	m	m	1	I	\ic	203	390	2030	2640
4	m	m	1	I	\ic	192	310	1980	2550
5	m	m	1	E	\ef	161	490	1870	2420
6	m	m	1	E	\ef	155	570	1700	2600
7	m	m	1	A	\ae	140	560	1820	2660
8	m	m	1	A	\ae	180	630	1700	2550
9	m	m	1	V	\vt	144	590	1250	2620
10	m	m	1	V	\vt	148	620	1300	2530
11	m	m	1	a	\aes	148	740	1070	2490
12	m	m	1	a	\aes	170	800	1060	2640
13	m	m	1	o	\ct	161	600	970	2280
14	m	m	1	o	\ct	158	660	980	2220
15	m	m	1	U	\hs	163	440	1120	2210
16	m	m	1	U	\hs	190	400	1070	2280
17	m	m	1	u	u	160	240	1040	2150
18	m	m	1	u	u	157	270	930	2280
19	m	m	1	R	\er\hr	177	370	1520	1670
20	m	m	1	R	\er\hr	164	460	1330	1590
21	m	m	2	i	i	147	220	2220	2910
22	m	m	2	i	i	148	210	2360	3250
23	m	m	2	I	\ic	141	410	1890	2680
24	m	m	2	I	\ic	139	420	1850	2500
25	m	m	2	E	\ef	136	500	1760	2590
26	m	m	2	E	\ef	135	510	1710	2380
27	m	m	2	A	\ae	128	690	1610	2560
28	m	m	2	A	\ae	131	700	1690	2580
29	m	m	2	V	\vt	140	650	1080	2420
30	m	m	2	V	\vt	125	625	1060	2490
31	m	m	2	a	\aes	140	650	1040	2450
32	m	m	2	a	\aes	136	670	1100	2430
33	m	m	2	o	\ct	149	580	580	2470
34	m	m	2	o	\ct	140	560	560	2410
35	m	m	2	U	\hs	145	450	940	1910
36	m	m	2	U	\hs	141	410	830	2240
37	m	m	2	u	u	140	280	650	3300
38	m	m	2	u	u	137	260	660	3300
39	m	m	2	R	\er\hr	145	510	1210	1570
40	m	m	2	R	\er\hr	145	510	1130	1510
41	m	m	3	i	i	105	250	2180	2680
42	m	m	3	i	i	111	244	2300	2780
43	m	m	3	I	\ic	100	400	1930	2610
44	m	m	3	I	\ic	104	400	1990	2700
45	m	m	3	E	\ef	100	550	1810	2500
46	m	m	3	E	\ef	95	540	1810	2480
47	m	m	3	A	\ae	93	630	1710	2400
48	m	m	3	A	\ae	94	658	1755	2305
